Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,22/05/2016 16:07,FALSE,Dun Laoghaire Running,8.01,504,41:45:00,166,187,4.9,176,186,05:13,04:03,124,125,1.09,0,7.7,263,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,16/05/2016 16:40,FALSE,Dun Laoghaire Running,8.01,485,43:26:00,158,180,4.1,170,191,05:26,03:18,63,101,1.08,0,8.3,272,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/05/2016 18:43,FALSE,Dun Laoghaire Running,8.08,524,44:24:00,167,185,4.9,168,197,05:30,03:38,138,148,1.08,0,8.2,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,09/05/2016 07:45,FALSE,Dun Laoghaire Running,7.02,461,38:54:00,167,188,4.4,170,198,05:32,04:38,105,102,1.06,0,8,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/04/2016 07:20,FALSE,Dun Laoghaire Running,9.26,610,54:03:00,164,187,4.1,169,255,05:50,04:21,208,208,1.01,0,8.2,269,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,10/04/2016 10:58,FALSE,Tibradden,15.09,"1,129",01:52:05,159,184,4.1,146,225,07:26,04:53,491,455,0.92,0,8.2,308,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/04/2016 08:26,FALSE,Dun Laoghaire Running,9.63,594,58:32:00,157,185,3.6,167,202,06:05,02:21,231,230,0.98,0,8.2,280,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/03/2016 19:06,FALSE,Dun Laoghaire Running,7.95,508,41:47:00,163,184,4,176,255,05:15,04:31,--,37,1.08,0,7.7,260,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,28/03/2016 09:12,FALSE,pet cemetary,14.11,"1,028",01:33:02,160,186,4.1,151,255,06:36,03:56,348,383,1,0,7.7,286,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/03/2016 16:41,FALSE,Dun Laoghaire Running,14.01,899,01:16:33,162,178,5,167,214,05:28,04:04,43,46,1.09,0,8.5,278,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
